IMAGEID	Plane	TheT	TheZ	TheC	XPos	YPos	ZPos	DeltaT
24.0	0.0	0.0	0.0	0.0	105451.2	10936.6	463.4	74.243
24.0	1.0	0.0	0.0	1.0	105451.2	10936.6	463.4	74.467
24.0	2.0	0.0	0.0	2.0	105451.2	10936.6	463.4	74.981
25.0	0.0	0.0	0.0	0.0	100955.4	10916.8	464.5	77.285
25.0	1.0	0.0	0.0	1.0	100955.4	10916.8	464.5	77.508
25.0	2.0	0.0	0.0	2.0	100955.4	10916.8	464.5	78.018
26.0	0.0	0.0	0.0	0.0	96459.6	10897.0	474.6	80.777
26.0	1.0	0.0	0.0	1.0	96459.6	10897.0	474.6	81.004
26.0	2.0	0.0	0.0	2.0	96459.6	10897.0	474.6	81.534
27.0	0.0	0.0	0.0	0.0	91963.9	10877.3	482.1	84.211
27.0	1.0	0.0	0.0	1.0	91963.9	10877.3	482.1	84.435
27.0	2.0	0.0	0.0	2.0	91963.9	10877.3	482.1	84.955
28.0	0.0	0.0	0.0	0.0	87468.1	10857.5	485.2	87.372
28.0	1.0	0.0	0.0	1.0	87468.1	10857.5	485.2	87.585
28.0	2.0	0.0	0.0	2.0	87468.1	10857.5	485.2	88.108
29.0	0.0	0.0	0.0	0.0	82972.3	10837.7	495.2	90.479
29.0	1.0	0.0	0.0	1.0	82972.3	10837.7	495.2	90.701
29.0	2.0	0.0	0.0	2.0	82972.3	10837.7	495.2	91.213
30.0	0.0	0.0	0.0	0.0	78476.6	10817.9	499.8	93.602
30.0	1.0	0.0	0.0	1.0	78476.6	10817.9	499.8	93.823
30.0	2.0	0.0	0.0	2.0	78476.6	10817.9	499.8	94.33
31.0	0.0	0.0	0.0	0.0	73980.8	10798.2	504.1	96.686
31.0	1.0	0.0	0.0	1.0	73980.8	10798.2	504.1	96.92
31.0	2.0	0.0	0.0	2.0	73980.8	10798.2	504.1	97.429
32.0	0.0	0.0	0.0	0.0	69485.0	10778.4	504.1	99.1
32.0	1.0	0.0	0.0	1.0	69485.0	10778.4	504.1	99.32
32.0	2.0	0.0	0.0	2.0	69485.0	10778.4	504.1	99.85
33.0	0.0	0.0	0.0	0.0	64989.3	10758.6	511.1	102.921
33.0	1.0	0.0	0.0	1.0	64989.3	10758.6	511.1	103.142
33.0	2.0	0.0	0.0	2.0	64989.3	10758.6	511.1	103.652
34.0	0.0	0.0	0.0	0.0	60493.5	10738.8	521.9	106.431
34.0	1.0	0.0	0.0	1.0	60493.5	10738.8	521.9	106.715
34.0	2.0	0.0	0.0	2.0	60493.5	10738.8	521.9	107.228
35.0	0.0	0.0	0.0	0.0	55997.7	10719.1	529.4	109.589
35.0	1.0	0.0	0.0	1.0	55997.7	10719.1	529.4	109.816
35.0	2.0	0.0	0.0	2.0	55997.7	10719.1	529.4	110.326
36.0	0.0	0.0	0.0	0.0	51501.9	10699.3	529.4	112.002
36.0	1.0	0.0	0.0	1.0	51501.9	10699.3	529.4	112.244
36.0	2.0	0.0	0.0	2.0	51501.9	10699.3	529.4	112.756
37.0	0.0	0.0	0.0	0.0	47006.2	10679.5	526.9	115.054
37.0	1.0	0.0	0.0	1.0	47006.2	10679.5	526.9	115.28
37.0	2.0	0.0	0.0	2.0	47006.2	10679.5	526.9	115.8
38.0	0.0	0.0	0.0	0.0	42510.4	10659.8	522.3	117.738
38.0	1.0	0.0	0.0	1.0	42510.4	10659.8	522.3	117.965
38.0	2.0	0.0	0.0	2.0	42510.4	10659.8	522.3	118.476
39.0	0.0	0.0	0.0	0.0	38014.6	10640.0	515.3	120.894
39.0	1.0	0.0	0.0	1.0	38014.6	10640.0	515.3	121.121
39.0	2.0	0.0	0.0	2.0	38014.6	10640.0	515.3	121.638
40.0	0.0	0.0	0.0	0.0	33518.9	10620.2	515.3	123.315
40.0	1.0	0.0	0.0	1.0	33518.9	10620.2	515.3	123.545
40.0	2.0	0.0	0.0	2.0	33518.9	10620.2	515.3	124.054
41.0	0.0	0.0	0.0	0.0	29023.1	10600.4	511.7	126.009
41.0	1.0	0.0	0.0	1.0	29023.1	10600.4	511.7	126.235
41.0	2.0	0.0	0.0	2.0	29023.1	10600.4	511.7	126.746
42.0	0.0	0.0	0.0	0.0	24527.3	10580.7	502.0	130.119
42.0	1.0	0.0	0.0	1.0	24527.3	10580.7	502.0	130.348
42.0	2.0	0.0	0.0	2.0	24527.3	10580.7	502.0	130.858
43.0	0.0	0.0	0.0	0.0	20031.6	10560.9	500.1	133.295
43.0	1.0	0.0	0.0	1.0	20031.6	10560.9	500.1	133.521
43.0	2.0	0.0	0.0	2.0	20031.6	10560.9	500.1	134.074
44.0	0.0	0.0	0.0	0.0	15535.8	10541.1	493.7	136.738
44.0	1.0	0.0	0.0	1.0	15535.8	10541.1	493.7	136.962
44.0	2.0	0.0	0.0	2.0	15535.8	10541.1	493.7	137.472
45.0	0.0	0.0	0.0	0.0	11040.0	10521.3	487.3	140.194
45.0	1.0	0.0	0.0	1.0	11040.0	10521.3	487.3	140.419
45.0	2.0	0.0	0.0	2.0	11040.0	10521.3	487.3	140.932
