IMAGEID	Plane	TheC	TheZ	TheC	XPos	YPos	ZPos	DeltaT
80.0	0.0	0.0	0.0	0.0	38250.9	19750.5	1221.3	165.806
81.0	0.0	0.0	0.0	0.0	42750.9	19750.5	1226.9	168.259
82.0	0.0	0.0	0.0	0.0	47250.9	19750.5	1228.6	170.406
83.0	0.0	0.0	0.0	0.0	51750.9	19750.5	1225.6	172.508
84.0	0.0	0.0	0.0	0.0	56250.9	19750.5	1224.4	174.655
85.0	0.0	0.0	0.0	0.0	60750.9	19750.5	1232.1	176.756
86.0	0.0	0.0	0.0	0.0	65250.9	19750.5	1239.8	178.559
87.0	0.0	0.0	0.0	0.0	69750.9	19750.5	1239.5	180.656
88.0	0.0	0.0	0.0	0.0	74250.9	19750.5	1256.3	182.455
89.0	0.0	0.0	0.0	0.0	78750.9	19750.5	1257.4	184.255
90.0	0.0	0.0	0.0	0.0	83250.9	19750.5	1263.8	186.005
91.0	0.0	0.0	0.0	0.0	87750.9	19750.5	1276.7	188.106
92.0	0.0	0.0	0.0	0.0	92250.9	19750.5	1283.9	190.256
93.0	0.0	0.0	0.0	0.0	96750.9	19750.5	1291.6	192.458
94.0	0.0	0.0	0.0	0.0	101250.9	19750.5	1300.1	195.034
95.0	0.0	0.0	0.0	0.0	105750.9	19750.5	1305.0	197.556
96.0	0.0	0.0	0.0	0.0	2250.9	24250.5	1271.5	202.005
97.0	0.0	0.0	0.0	0.0	6750.9	24250.5	1263.0	203.804
98.0	0.0	0.0	0.0	0.0	11250.9	24250.5	1253.2	205.157
99.0	0.0	0.0	0.0	0.0	15750.9	24250.5	1250.5	206.856
100.0	0.0	0.0	0.0	0.0	20250.9	24250.5	1241.9	208.906
101.0	0.0	0.0	0.0	0.0	24750.9	24250.5	1238.0	210.954
102.0	0.0	0.0	0.0	0.0	29250.9	24250.5	1229.1	213.056
103.0	0.0	0.0	0.0	0.0	33750.9	24250.5	1224.6	215.204
104.0	0.0	0.0	0.0	0.0	38250.9	24250.5	1215.1	217.704
105.0	0.0	0.0	0.0	0.0	42750.9	24250.5	1221.7	219.904
106.0	0.0	0.0	0.0	0.0	47250.9	24250.5	1220.4	222.054
107.0	0.0	0.0	0.0	0.0	51750.9	24250.5	1216.0	224.508
108.0	0.0	0.0	0.0	0.0	56250.9	24250.5	1215.5	227.004
109.0	0.0	0.0	0.0	0.0	60750.9	24250.5	1224.2	229.205
110.0	0.0	0.0	0.0	0.0	65250.9	24250.5	1229.6	231.354
111.0	0.0	0.0	0.0	0.0	69750.9	24250.5	1229.0	233.455
112.0	0.0	0.0	0.0	0.0	74250.9	24250.5	1241.0	235.255
113.0	0.0	0.0	0.0	0.0	78750.9	24250.5	1248.8	237.007
114.0	0.0	0.0	0.0	0.0	83250.9	24250.5	1253.2	238.404
115.0	0.0	0.0	0.0	0.0	87750.9	24250.5	1265.2	240.359
116.0	0.0	0.0	0.0	0.0	92250.9	24250.5	1270.8	242.457
117.0	0.0	0.0	0.0	0.0	96750.9	24250.5	1284.0	244.656
118.0	0.0	0.0	0.0	0.0	101250.9	24250.5	1291.9	247.155
119.0	0.0	0.0	0.0	0.0	105750.9	24250.5	1309.0	249.657
120.0	0.0	0.0	0.0	0.0	2250.9	28750.5	1267.3	254.105
121.0	0.0	0.0	0.0	0.0	6750.9	28750.5	1263.5	255.905
122.0	0.0	0.0	0.0	0.0	11250.9	28750.5	1253.2	257.305
123.0	0.0	0.0	0.0	0.0	15750.9	28750.5	1246.1	259.004
124.0	0.0	0.0	0.0	0.0	20250.9	28750.5	1237.3	261.054
125.0	0.0	0.0	0.0	0.0	24750.9	28750.5	1229.8	263.107
126.0	0.0	0.0	0.0	0.0	29250.9	28750.5	1222.0	265.306
127.0	0.0	0.0	0.0	0.0	33750.9	28750.5	1213.7	267.804
128.0	0.0	0.0	0.0	0.0	38250.9	28750.5	1207.8	270.306
129.0	0.0	0.0	0.0	0.0	42750.9	28750.5	1215.0	272.453
130.0	0.0	0.0	0.0	0.0	47250.9	28750.5	1215.8	274.654
131.0	0.0	0.0	0.0	0.0	51750.9	28750.5	1209.3	277.103
132.0	0.0	0.0	0.0	0.0	56250.9	28750.5	1210.1	279.653
133.0	0.0	0.0	0.0	0.0	60750.9	28750.5	1217.9	281.805
134.0	0.0	0.0	0.0	0.0	65250.9	28750.5	1220.8	283.955
135.0	0.0	0.0	0.0	0.0	69750.9	28750.5	1221.0	286.104
136.0	0.0	0.0	0.0	0.0	74250.9	28750.5	1226.8	288.254
137.0	0.0	0.0	0.0	0.0	78750.9	28750.5	1237.2	290.357
138.0	0.0	0.0	0.0	0.0	83250.9	28750.5	1249.0	292.155
139.0	0.0	0.0	0.0	0.0	87750.9	28750.5	1256.0	293.955
140.0	0.0	0.0	0.0	0.0	92250.9	28750.5	1264.7	295.653
141.0	0.0	0.0	0.0	0.0	96750.9	28750.5	1277.5	297.755
142.0	0.0	0.0	0.0	0.0	101250.9	28750.5	1293.8	300.204
143.0	0.0	0.0	0.0	0.0	105750.9	28750.5	1312.3	302.704
144.0	0.0	0.0	0.0	0.0	2250.9	33250.5	1273.0	307.204
145.0	0.0	0.0	0.0	0.0	6750.9	33250.5	1272.4	309.605
146.0	0.0	0.0	0.0	0.0	11250.9	33250.5	1259.1	311.422
147.0	0.0	0.0	0.0	0.0	15750.9	33250.5	1248.5	313.153
148.0	0.0	0.0	0.0	0.0	20250.9	33250.5	1235.6	315.254
149.0	0.0	0.0	0.0	0.0	24750.9	33250.5	1227.4	317.355
150.0	0.0	0.0	0.0	0.0	29250.9	33250.5	1221.5	319.506
151.0	0.0	0.0	0.0	0.0	33750.9	33250.5	1216.7	321.753
152.0	0.0	0.0	0.0	0.0	38250.9	33250.5	1211.9	324.255
153.0	0.0	0.0	0.0	0.0	42750.9	33250.5	1212.4	326.405
154.0	0.0	0.0	0.0	0.0	47250.9	33250.5	1211.7	328.553
155.0	0.0	0.0	0.0	0.0	51750.9	33250.5	1210.8	330.755
156.0	0.0	0.0	0.0	0.0	56250.9	33250.5	1213.2	333.003
157.0	0.0	0.0	0.0	0.0	60750.9	33250.5	1213.8	335.254
158.0	0.0	0.0	0.0	0.0	65250.9	33250.5	1220.7	337.404
159.0	0.0	0.0	0.0	0.0	69750.9	33250.5	1218.4	339.905
160.0	0.0	0.0	0.0	0.0	74250.9	33250.5	1226.0	342.104
161.0	0.0	0.0	0.0	0.0	78750.9	33250.5	1234.7	344.205
162.0	0.0	0.0	0.0	0.0	83250.9	33250.5	1248.7	346.002
163.0	0.0	0.0	0.0	0.0	87750.9	33250.5	1259.2	347.703
164.0	0.0	0.0	0.0	0.0	92250.9	33250.5	1273.4	349.803
